x_px,y_px,x_norm,y_norm,lon_approx,lat_approx
546,416,0.284523,0.385542,77.4946146,28.7535683
547,424,0.285044,0.392956,77.494622,28.7535166
573,430,0.298593,0.398517,77.4948138,28.7534778
600,449,0.312663,0.416126,77.495013,28.7533549
623,474,0.324648,0.439296,77.4951827,28.7531932
642,504,0.334549,0.467099,77.4953228,28.7529991
678,537,0.353309,0.497683,77.4955884,28.7527857
697,569,0.36321,0.52734,77.4957286,28.7525787
716,588,0.373111,0.544949,77.4958688,28.7524558
759,665,0.395518,0.616311,77.496186,28.7519578
777,690,0.404898,0.639481,77.4963188,28.7517961
800,708,0.416884,0.656163,77.4964885,28.7516797
859,768,0.447629,0.71177,77.4969238,28.7512916
950,835,0.49505,0.773865,77.4975951,28.7508583
972,847,0.506514,0.784986,77.4977574,28.7507807
979,854,0.510162,0.791474,77.4978091,28.7507354
990,879,0.515894,0.814643,77.4978902,28.7505737
1006,879,0.524231,0.814643,77.4980083,28.7505737
996,868,0.51902,0.804449,77.4979345,28.7506448
983,841,0.512246,0.779425,77.4978386,28.7508195
866,758,0.451277,0.702502,77.4969754,28.7513563
782,676,0.407504,0.626506,77.4963557,28.7518867
726,580,0.378322,0.537535,77.4959426,28.7525076
709,564,0.369463,0.522706,77.4958171,28.7526111
687,528,0.357999,0.489342,77.4956548,28.7528439
649,492,0.338197,0.455978,77.4953745,28.7530767
616,446,0.321001,0.413346,77.495131,28.7533743
577,421,0.300677,0.390176,77.4948433,28.753536
577,390,0.300677,0.361446,77.4948433,28.7537365
620,363,0.323085,0.336423,77.4951605,28.7539111
654,364,0.340803,0.337349,77.4954114,28.7539046
671,387,0.349661,0.358665,77.4955368,28.7537559
693,408,0.361126,0.378128,77.4956991,28.75362
749,488,0.390307,0.452271,77.4961122,28.7531026
776,509,0.404377,0.471733,77.4963114,28.7529668
789,508,0.411152,0.470806,77.4964073,28.7529733
805,497,0.419489,0.460612,77.4965254,28.7530444
830,465,0.432517,0.430955,77.4967098,28.7532514
865,464,0.450756,0.430028,77.496968,28.7532578
886,478,0.461699,0.443003,77.497123,28.7531673
901,476,0.469515,0.441149,77.4972336,28.7531802
917,459,0.477853,0.425394,77.4973517,28.7532902
924,443,0.481501,0.410565,77.4974033,28.7533937
967,408,0.503908,0.378128,77.4977205,28.75362
990,378,0.515894,0.350324,77.4978902,28.7538141
1021,378,0.532048,0.350324,77.4981189,28.7538141
1047,403,0.545597,0.373494,77.4983107,28.7536524
1115,447,0.581032,0.414272,77.4988124,28.7533678
1147,493,0.597707,0.456905,77.4990485,28.7530703
1153,493,0.600834,0.456905,77.4990927,28.7530703
1157,488,0.602918,0.452271,77.4991223,28.7531026
1165,440,0.607087,0.407785,77.4991813,28.7534131
1191,427,0.620636,0.395737,77.4993731,28.7534972
1225,427,0.638353,0.395737,77.4996239,28.7534972
1263,462,0.658155,0.428174,77.4999043,28.7532708
1295,481,0.674831,0.445783,77.5001403,28.7531479
1443,483,0.751954,0.447637,77.5012322,28.753135
1453,486,0.757165,0.450417,77.501306,28.7531156
1469,500,0.765503,0.463392,77.501424,28.753025
1480,533,0.771235,0.493976,77.5015052,28.7528116
1480,563,0.771235,0.521779,77.5015052,28.7526175
1464,570,0.762897,0.528267,77.5013871,28.7525723
1459,584,0.760292,0.541242,77.5013503,28.7524817
1487,598,0.774883,0.554217,77.5015568,28.7523912
1490,632,0.776446,0.585728,77.501579,28.7521712
1491,606,0.776967,0.561631,77.5015863,28.7523394
1519,603,0.791558,0.558851,77.5017929,28.7523588
1553,594,0.809276,0.55051,77.5020437,28.752417
1583,594,0.824909,0.55051,77.5022651,28.752417
1584,642,0.82543,0.594995,77.5022724,28.7521066
1577,656,0.821782,0.60797,77.5022208,28.752016
1558,677,0.811881,0.627433,77.5020806,28.7518802
1541,715,0.803022,0.662651,77.5019552,28.7516344
1521,742,0.7926,0.687674,77.5018077,28.7514598
1482,782,0.772277,0.724745,77.5015199,28.7512011
1467,790,0.764461,0.732159,77.5014093,28.7511493
1444,812,0.752475,0.752549,77.5012396,28.751007
1407,834,0.733194,0.772938,77.5009666,28.7508647
1397,872,0.727983,0.808156,77.5008928,28.750619
1385,879,0.72173,0.814643,77.5008043,28.7505737
1400,879,0.729547,0.814643,77.500915,28.7505737
1400,875,0.729547,0.810936,77.500915,28.7505996
1408,871,0.733715,0.807229,77.500974,28.7506254
1409,853,0.734237,0.790547,77.5009814,28.7507419
1419,837,0.739448,0.775718,77.5010552,28.7508453
1446,824,0.753517,0.76367,77.5012543,28.7509294
1472,801,0.767066,0.742354,77.5014462,28.7510782
1491,790,0.776967,0.732159,77.5015863,28.7511493
1528,752,0.796248,0.696942,77.5018593,28.7513951
1550,724,0.807712,0.670992,77.5020216,28.7515762
1568,685,0.817092,0.634847,77.5021544,28.7518285
1590,659,0.828557,0.610751,77.5023167,28.7519966
1598,640,0.832725,0.593142,77.5023757,28.7521195
1598,622,0.832725,0.57646,77.5023757,28.7522359
1610,607,0.838979,0.562558,77.5024643,28.7523329
1600,585,0.833768,0.542169,77.5023905,28.7524752
1589,576,0.828035,0.533828,77.5023093,28.7525334
