system:index,date,rainfall_mm,.geo
0,2021-01-01,0.03800000250339508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-01-02,0.31499998178333044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-01-03,17.109999649226665,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-01-04,14.299999684095383,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-01-05,3.34499990940094,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-01-06,1.3199999779462814,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2021-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2021-01-14,13.99499985575676,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2021-01-15,6.389999747276306,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2021-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2021-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2021-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2021-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2021-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2021-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2021-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2021-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2021-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-02-01,0.004000000189989805,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-02-03,1.1699999570846558,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-02-04,3.969999995082617,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2021-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2021-02-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2021-02-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2021-02-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2021-02-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2021-02-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2021-02-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2021-02-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2021-02-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2021-02-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2021-02-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2021-02-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2021-02-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2021-02-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2021-02-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2021-02-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2021-02-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2021-02-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2021-02-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2021-02-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2021-02-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2021-02-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2021-02-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2021-03-01,0.0020000000949949026,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2021-03-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2021-03-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2021-03-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2021-03-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2021-03-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2021-03-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2021-03-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2021-03-09,1.709999947808683,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2021-03-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2021-03-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2021-03-12,1.199999957345426,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2021-03-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2021-03-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2021-03-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2021-03-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2021-03-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2021-03-18,0.02499999850988388,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2021-03-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2021-03-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2021-03-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2021-03-22,0.7399999750778079,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2021-03-23,0.30499999411404133,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2021-03-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2021-03-25,0.03500000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2021-03-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2021-03-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2021-03-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2021-03-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2021-03-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2021-03-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2021-04-01,0.002500000176951289,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2021-04-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2021-04-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2021-04-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2021-04-05,0.02499999850988388,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2021-04-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2021-04-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2021-04-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2021-04-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2021-04-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2021-04-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2021-04-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2021-04-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2021-04-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2021-04-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2021-04-16,1.4699999764561653,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2021-04-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2021-04-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2021-04-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2021-04-20,1.5649999687448144,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2021-04-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2021-04-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2021-04-23,0.744999997317791,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2021-04-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2021-04-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2021-04-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2021-04-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2021-04-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2021-04-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2021-04-30,0.1999999936670065,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2021-05-01,1.1634999625384808,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2021-05-02,0.26499998569488525,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2021-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2021-05-04,0.03999999910593033,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2021-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2021-05-06,9.219999825581908,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2021-05-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2021-05-08,0.02499999850988388,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2021-05-09,9.34999968111515,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2021-05-10,0.3249999852851033,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2021-05-11,0.009999999776482582,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2021-05-12,8.849999889731407,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2021-05-13,2.894999947398901,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2021-05-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2021-05-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2021-05-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2021-05-17,6.3599998112767935,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2021-05-18,14.004999558441341,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2021-05-19,14.969999523833394,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2021-05-20,0.9449999891221523,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2021-05-21,43.18499915674329,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2021-05-22,1.0299999676644802,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2021-05-23,0.2799999890848994,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2021-05-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2021-05-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2021-05-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2021-05-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2021-05-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2021-05-29,0.16999999433755875,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2021-05-30,0.18999999295920134,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2021-05-31,11.154999732971191,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2021-06-01,1.4374999925494194,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2021-06-02,0.06499999761581421,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2021-06-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2021-06-04,3.554999865591526,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2021-06-05,0.439999982714653,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2021-06-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2021-06-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2021-06-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2021-06-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2021-06-10,8.799999848008156,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2021-06-11,0.12999999523162842,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2021-06-12,0.22499999403953552,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2021-06-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2021-06-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2021-06-15,2.674999915063381,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2021-06-16,3.6199998259544373,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2021-06-17,7.964999824762344,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2021-06-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2021-06-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2021-06-20,0.29499998688697815,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2021-06-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2021-06-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2021-06-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2021-06-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2021-06-25,3.574999898672104,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2021-06-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2021-06-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2021-06-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2021-06-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2021-06-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2021-07-01,0.2225000113248825,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2021-07-02,16.12499961256981,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2021-07-03,5.124999865889549,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2021-07-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2021-07-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2021-07-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2021-07-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2021-07-08,7.354999706149101,"{""type"":""MultiPoint"",""coordinates"":[]}"
