system:index,date,rainfall_mm,.geo
20210101,2021-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,7.811124801635742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,9.905906677246094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,8.785011291503906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,6.210630416870117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207,2021-02-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
